gh_username,active,first_name,last_name,country,state,OS,Domain_areas,Description,technical_areas
ab93,False,Avik,Basu,United States,California,"Mac, Linux","NLP, text analysis, Linguistics, Mathematics, Statistics, ML, AI, Computer sciences, Education","Deep Learning, time series, industry data science, deep unsupervised learning, ML in finance ","Data visualization, Data munging, Python package structure, Documentation quality, Unit Testing, Continuous Integration, Object oriented programming, Web API's, Docker, Tool usability / accessibility, Python best practices"
banesullivan,False,Bane,Sullivan,United States,California,Mac,"Spatial data, spatial analysis, GIS, Geosciences / earth science, 3D visualization","Remote sensing of the environment and subsurface, developer advocacy, data science, 3D visualization","Data visualization, Python package structure, Documentation quality, Unit Testing, Continuous Integration, Object oriented programming, Web API's, Docker, Tool usability / accessibility"
cmarmo,False,,,,,,,,
isabelizimm,False,,,,,,,,
lwasser,False,,,,,,,,
mjhajharia,False,Meenal,,,,,,,
nickledave,False,,,,,,,,
nimasarajpoor,False,,,,,,,,
simonmolinsky,False,Simon,Molinsky,,,,,,
sneakers-the-rat,False,,,,,,,,
tomalrussell,False,,,,,,,,
xmnlab,False,,,,,,,,
